,stationid,tempc,feelsc,windspeed_kph,winddir_deg,pressure_mb,precip_mm,humidity,visibility_km,cloud,weather_code,extra_weather_text,uvindex,isday,updatedon,lat,lon
5578,11350305,21.2,21.2,10.1,315.0,1012.8,0.5,97.6,10.0,100.0,1240.0,Light rain shower,5.0,1.0,2022-02-05 15:00,-22.8899993896484,-48.439998626709
5579,11350638,35.6,33.9,10.8,73.7,1006.1,0.0,10.7,10.0,0.0,1000.0,Sunny,9.0,1.0,2022-02-05 15:00,5.59999990463257,14.0699996948242
5580,11350971,24.7,26.9,2.5,188.3,1008.4,0.4,84.3,9.0,70.0,1063.0,Patchy rain possible,5.0,1.0,2022-02-05 15:00,-6.73999977111816,23.9500007629395
5581,11351304,1,-2.64,6.1,100.0,990.9,0.0,75.0,10.0,50.0,1003.0,Partly cloudy,2.0,1.0,2022-02-05 15:00,59.6300010681152,8.27000045776367
5582,11351637,-1.2,-3.6,6.5,68.3,1031.2,0.0,43.5,10.0,0.0,1000.0,Sunny,2.0,1.0,2022-02-05 15:00,33.3499984741211,-110.449996948242
5583,11351970,0,-2.93,15.1,290.0,1027.8,0.0,42.0,16.0,0.0,1000.0,Sunny,2.0,1.0,2022-02-05 15:00,35.5,-82.9899978637695
5584,11352303,7,3.69,29.9,220.0,1022.0,0.0,61.0,10.0,50.0,1003.0,Partly cloudy,1.0,1.0,2022-02-05 15:00,50.2200012207031,8.44999980926514
5585,11352636,6,3.07,6.8,170.0,1002.0,0.0,45.0,5.0,0.0,1009.0,Overcast,1.0,0.0,2022-02-05 15:00,42.4799995422363,70.3000030517578
5586,11352969,-10.9,-16.7,11.2,192.5,1033.8,0.0,83.3,10.0,70.0,1006.0,Cloudy,1.0,0.0,2022-02-05 15:00,54.3800010681152,97.7799987792969
5587,11353302,-39.3,-39.3,2.2,214.0,1032.2,0.0,88.6,10.0,2.6,1000.0,Clear,1.0,0.0,2022-02-05 15:00,63.8300018310547,145.619995117188
5588,11353635,1,-4.52,0.0,0.0,1023.4,0.0,59.0,16.0,0.0,1000.0,Sunny,2.0,1.0,2022-02-05 15:00,32.6199989318848,-116.470001220703
5589,11353968,8,5.74,22.0,230.0,1025.1,0.0,53.0,10.0,25.0,1003.0,Partly cloudy,2.0,1.0,2022-02-05 15:00,48.4500007629395,8.42000007629395
5590,11354301,-18.2,-23.5,6.8,217.5,1040.6,0.0,93.0,10.0,100.0,1009.0,Overcast,1.0,0.0,2022-02-05 15:00,50.3699989318848,106.449996948242
5591,11354634,-6.7,-14.91,28.1,220.0,1020.7,0.0,71.0,16.0,0.0,1000.0,Sunny,2.0,1.0,2022-02-05 15:00,37.8199996948242,-100.319999694824
5592,11354967,2.2,-3.1,24.1,270.0,1011.2,0.0,59.0,16.0,100.0,1009.0,Overcast,2.0,1.0,2022-02-05 15:00,46.4300003051758,-105.870002746582
5593,11355300,17.5,17.5,1.8,27.9,1018.9,0.0,17.4,10.0,53.9,1003.0,Partly cloudy,5.0,1.0,2022-02-05 15:00,33.7999992370605,2.86999988555908
